,key,fitness_vector,rate,fixed_value,use_fitness_vector,use_per_gene_config,fitness_goal
0,global_mutation_rate,WORSE,0.0010100142940972913,,False,False,still_life
1,global_crossover_rate,WORSE,0.15547949981178155,,False,False,still_life
2,seed,WORSE,0.0010100142940972913,,False,False,still_life
3,stamp,WORSE,0.0010100142940972913,,False,False,still_life
4,stamp_offset,WORSE,0.0010100142940972913,,False,False,still_life
5,repeat_mode,WORSE,0.0010100142940972913,,False,False,still_life
6,repeat_offset,WORSE,0.0010100142940972913,,False,False,still_life
7,mirror,WORSE,0.0010100142940972913,,False,False,still_life
0,global_mutation_rate,SAME,0.0010100142940972913,,False,False,still_life
1,global_crossover_rate,SAME,0.15547949981178155,,False,False,still_life
2,seed,SAME,0.0010100142940972913,,False,False,still_life
3,stamp,SAME,0.0010100142940972913,,False,False,still_life
4,stamp_offset,SAME,0.0010100142940972913,,False,False,still_life
5,repeat_mode,SAME,0.0010100142940972913,,False,False,still_life
6,repeat_offset,SAME,0.0010100142940972913,,False,False,still_life
7,mirror,SAME,0.0010100142940972913,,False,False,still_life
0,global_mutation_rate,BETTER,0.0010100142940972913,,False,False,still_life
1,global_crossover_rate,BETTER,0.15547949981178155,,False,False,still_life
2,seed,BETTER,0.0010100142940972913,,False,False,still_life
3,stamp,BETTER,0.0010100142940972913,,False,False,still_life
4,stamp_offset,BETTER,0.0010100142940972913,,False,False,still_life
5,repeat_mode,BETTER,0.0010100142940972913,,False,False,still_life
6,repeat_offset,BETTER,0.0010100142940972913,,False,False,still_life
7,mirror,BETTER,0.0010100142940972913,,False,False,still_life
0,global_mutation_rate,WORSE,0.007078409465484541,,False,True,still_life
1,global_crossover_rate,WORSE,0.06618860521154724,,False,True,still_life
2,seed,WORSE,0.003379033812548398,,False,True,still_life
3,stamp,WORSE,0.0,True,False,True,still_life
4,stamp_offset,WORSE,0.007067526545311809,,False,True,still_life
5,repeat_mode,WORSE,0.01,,False,True,still_life
6,repeat_offset,WORSE,0.01,,False,True,still_life
7,mirror,WORSE,0.006695792312514183,,False,True,still_life
0,global_mutation_rate,SAME,0.007078409465484541,,False,True,still_life
1,global_crossover_rate,SAME,0.06618860521154724,,False,True,still_life
2,seed,SAME,0.003379033812548398,,False,True,still_life
3,stamp,SAME,0.0,True,False,True,still_life
4,stamp_offset,SAME,0.007067526545311809,,False,True,still_life
5,repeat_mode,SAME,0.01,,False,True,still_life
6,repeat_offset,SAME,0.01,,False,True,still_life
7,mirror,SAME,0.006695792312514183,,False,True,still_life
0,global_mutation_rate,BETTER,0.007078409465484541,,False,True,still_life
1,global_crossover_rate,BETTER,0.06618860521154724,,False,True,still_life
2,seed,BETTER,0.003379033812548398,,False,True,still_life
3,stamp,BETTER,0.0,True,False,True,still_life
4,stamp_offset,BETTER,0.007067526545311809,,False,True,still_life
5,repeat_mode,BETTER,0.01,,False,True,still_life
6,repeat_offset,BETTER,0.01,,False,True,still_life
7,mirror,BETTER,0.006695792312514183,,False,True,still_life
0,global_mutation_rate,WORSE,0.008921795677048453,,True,False,still_life
1,global_crossover_rate,WORSE,0.7291267979503492,,True,False,still_life
2,seed,WORSE,0.008921795677048453,,True,False,still_life
3,stamp,WORSE,0.008921795677048453,,True,False,still_life
4,stamp_offset,WORSE,0.008921795677048453,,True,False,still_life
5,repeat_mode,WORSE,0.008921795677048453,,True,False,still_life
6,repeat_offset,WORSE,0.008921795677048453,,True,False,still_life
7,mirror,WORSE,0.008921795677048453,,True,False,still_life
0,global_mutation_rate,SAME,0.0008693883262941615,,True,False,still_life
1,global_crossover_rate,SAME,0.1634024937619284,,True,False,still_life
2,seed,SAME,0.0008693883262941615,,True,False,still_life
3,stamp,SAME,0.0008693883262941615,,True,False,still_life
